,TITLE,PRICE,LOCATION,ROOM,AREA
206,KOZYATAĞINDA OFİS BÜRO İÇİN TARİFİ KOLAY ÇOK İYİ KONUM 3+1 DAİRE,4200000,"Koşuyolu, Kadıköy",,125 m²
207,CENTURY 21.SAHRA'DAN MARK&SPENCER'A ÇOK YAKIN 2+1 YAPILI,7000000,"Caferağa, Kadıköy",3+1,140 m²
208,Fenerbahçe Kalamış Marina ve Doğa Manzaralı Balkonlu 4+1,5250000,"Göztepe, Kadıköy",1+1,117 m²
209,SUADİYE BAĞDAT CADDESİ ÜZERİNDE 130M2 3+1 2.KAT BALKONLU DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
210,,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
211,BAĞDAT CAD.ÜSTÜ 150m2 KAPALI BALKONLU KİRACILI 2.KAT SATILIK 3+1,240000000,"Kozyatağı, Kadıköy",,4172 m²
212,,9950000,"Bostancı, Kadıköy",4+1,160 m²
213,BAĞDAT CADDESİ BEYMEN KARŞISI İSKANLI 2.KAT 150m2 SATILIK 3+1,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
214,BAHARİYE CADDESİ YENİLENMİŞ FERAH ARA KAT SATILIK DAİRE,13200000,"Suadiye, Kadıköy",4+2,230 m²
215,,10300000,"Suadiye, Kadıköy",4+1,165 m²
216,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
217,CENTURY 21.SAHRA'DAN SIFIR BİNADA 2+1 BALKONLU MİN. ÇOK YAKIN,10300000,"Suadiye, Kadıköy",4+1,165 m²
218,,290000000,"Fenerbahçe, Kadıköy",,2987 m²
219,,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
220,Kadıköy Göztepe'de Satılık Daire,5975000,"Suadiye, Kadıköy",2+1,95 m²
221,BOSTANCI GÖSTERİ MERKEZİ LUNAPARK SATILIK 3+1 PROJEDEN SATILIK,13950000,"Zühtüpaşa, Kadıköy",,212 m²
222,"CADDEBOSTAN , BAĞDAT CADDESİNE YAKIN YENİ BİNA FIRSAT DUBLEKS",3750000,"Caferağa, Kadıköy",2+1,100 m²
223,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
224,,8975000,"Suadiye, Kadıköy",3+1,130 m²
225,GÖZTEPE TÜTÜNCÜ MEHMET EFENDİ CADDESİ ÜZERİNDE 45 M2 DÜKKAN,7395000,"Erenköy, Kadıköy",3+1,165 m²
226,MERKEZİ KONUMDA KİRACILI 200 M2 DÜKKAN,6650000,"Göztepe, Kadıköy",3+1,150 m²
227,KUYUBAŞI FAHRETTİN KERİM GÖKAY CADDESİ ÜZERİNDE 80 M2 DÜKKAN,4200000,"Koşuyolu, Kadıköy",,125 m²
228,MERKEZİ KONUMDA 320 M2 DÜKKAN,7000000,"Caferağa, Kadıköy",3+1,140 m²
229,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 110 M2 DÜKKAN,5250000,"Göztepe, Kadıköy",1+1,117 m²
230,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİNE PARALEL 180 M2 DÜKKAN,6280000,"Bostancı, Kadıköy",3+1,190 m²
231,CADDEBOSTAN ÖMER PAŞA CADDESİ ÜZERİNDE 90 M2 DÜKKAN,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
232,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİNE İKİNCİ BİNADA 200 M2 DÜKKAN,240000000,"Kozyatağı, Kadıköy",,4172 m²
233,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 25 M2 DÜKKAN,9950000,"Bostancı, Kadıköy",4+1,160 m²
234,MODADA SAHİLE 5 DK MESAFEDE ŞAHNE KONUMDA 2+1 90² DAİRE,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
235,REMAX OPTİMA'DAN VATANDAŞLIĞA UYGUN 4+1 190m2 MUHTEŞEM MANZARA..,13200000,"Suadiye, Kadıköy",4+2,230 m²
236,İSTANBULDA SATILIK OTEL 1/3 HİSSE,10300000,"Suadiye, Kadıköy",4+1,165 m²
237,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
238,HASANPAŞA DA 2+1 SATILIK FIRSAT DAİRE,10300000,"Suadiye, Kadıköy",4+1,165 m²
239,MODA EMİN ONAT SOKAKTA EŞSİZ KONUMDA 3+1 140 M2 DAİRE,290000000,"Fenerbahçe, Kadıköy",,2987 m²
240,KADIKÖY ALTIYOL'DA SATILIK 260m2 OFİS & BÜRO,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
241,Fenerbahçe Sahil Caddesi Balkonlu Deniz ve Doğa Manzaralı,5975000,"Suadiye, Kadıköy",2+1,95 m²
242,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
243,Resim'den 2+1 Optimist Residence 60 m2 Teraslı Deniz Manzaralı,3750000,"Caferağa, Kadıköy",2+1,100 m²
244,FENERBAHÇE BÖLGESİ'NİN EMSALSİZ SECKİN SİTESİ LEBİ DERYA,21500000,"Caddebostan, Kadıköy",4+2,300 m²
245,Hasanpaşa'da Muhteşem Konumda Satılık Dubleks Daire,8975000,"Suadiye, Kadıköy",3+1,130 m²
246,RESİM'DEN KADIKÖY RASİPAŞA DA 4+1 ÇATI DUBLEKS DAİRE,7395000,"Erenköy, Kadıköy",3+1,165 m²
247,RESİM 'den ACIBADEM SAKİNLERDE 3+1 YENİ BİNADA BOŞ DAİRE 125 m2,6650000,"Göztepe, Kadıköy",3+1,150 m²
248,FENERBAHÇE DALYAN DA LEBİ DERYA 350 M2 5+1 ARA KAT,4200000,"Koşuyolu, Kadıköy",,125 m²
249,Fikirtepe Nuhoğlu Yeditepe'de 2+1 Satılık Residance,7000000,"Caferağa, Kadıköy",3+1,140 m²
250,"Anadolu Yakası , Ana Arter'de YATIRIMCILARA 2100 M2 KOMPLE BİNA",5250000,"Göztepe, Kadıköy",1+1,117 m²
251,للبيع  شقة TURKEY İSTANBUL EXELLENCE,6280000,"Bostancı, Kadıköy",3+1,190 m²
252,للبيع  شقة TURKEY İSTANBUL EXELLENCE,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
253,Suadiye Sahilde Deprem Raporlu ve Güvenlikli Binada 4+1 Daire,240000000,"Kozyatağı, Kadıköy",,4172 m²
254,,9950000,"Bostancı, Kadıköy",4+1,160 m²
255,Kadıköy Osmanağa Yoğurtcu Kavşağı Satılık 2+1 Ara Kat Daire,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
256,SATILIK ARAKAT DAİRE  ACIBADEM CADDESİ NE YAKIN  3+1  AÇIK OTOPA,13200000,"Suadiye, Kadıköy",4+2,230 m²
257,Kadıköy' de Satılık Turistik Otel,10300000,"Suadiye, Kadıköy",4+1,165 m²
258,Fenerbahçe Ayanoğlu ve Bağdat Caddesi Yakın Balkonlu Sıfır 3+1,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
259,ÜÇEL SAHRAYI CEDİT MİNİBÜS YOLU YAKIN GENİŞ M2'Lİ BALKONLU 1+1!!,10300000,"Suadiye, Kadıköy",4+1,165 m²
260,CİTY'DEN FENERYOLUNDA ÖZGÜRLÜK PARKINA ADIM MESAFEDE BALKONLU,290000000,"Fenerbahçe, Kadıköy",,2987 m²
261,"RED PARTNERS, ÖNÜ KAPANMAZ DENİZ MANZARALI YATIRIMLIK 3+1",12000000,"19 Mayıs, Kadıköy",1+1,180 m²
262,"Acıbadem E-5 üzeri ,merkezi konumda , 2+1 daire",5975000,"Suadiye, Kadıköy",2+1,95 m²
263,MODA YOĞURTÇU PARKI CADDESİ ÜZERİNDE YATIRIMLIK DÜKKAN-MAĞAZA,13950000,"Zühtüpaşa, Kadıköy",,212 m²
264,"ACIBADEM ERDEM SİTESİNDE, ÖN CEPHEDE, 120 m2 SATILIK ÜST KAT",3750000,"Caferağa, Kadıköy",2+1,100 m²
265,"ACIBADEM'DE 4 YILLIK SİTE İÇERSİNDE, K. HAVUZLU, GÜVENLİKLİ 2+1",21500000,"Caddebostan, Kadıköy",4+2,300 m²
266,,8975000,"Suadiye, Kadıköy",3+1,130 m²
267,Selamiçeşme Bağdat Caddesi 3. Bina Özgürlük Parkına Yakın 4+1,7395000,"Erenköy, Kadıköy",3+1,165 m²
268,"ACIBADEM MERKEZDE, KİRACILI, YATIRIMLIK 3+1 ARA KAT DAİRE",6650000,"Göztepe, Kadıköy",3+1,150 m²
269,DİNAMİK'TEN 220M2 DUBLEKS VATANDAŞLIGA UYGUN 40M2 SALONLU,4200000,"Koşuyolu, Kadıköy",,125 m²
270,,7000000,"Caferağa, Kadıköy",3+1,140 m²
271,,5250000,"Göztepe, Kadıköy",1+1,117 m²
272,CİTYDEN..CADDEBOSTANDA DEPREM SONRASI GENÇ BİNADA  230M2 5+1,6280000,"Bostancı, Kadıköy",3+1,190 m²
273,"ERENKÖY ÇOBAN YILDIZI SK. OTOPARKLI, TERASLI 4+1 DUBLEKS DAİRE",5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
274,Fenerbahçe Deniz Manzaralı Güvenlik Kahve Dünyası Süt İş,240000000,"Kozyatağı, Kadıköy",,4172 m²
275,BAHARŞYE CAD SÜREYA OPERASI KARŞISINDA 3+1 120 M2 NET İŞYERİ,9950000,"Bostancı, Kadıköy",4+1,160 m²
276,,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
277,ENERJİ C.BOSTAN BAĞDATA 2. BİNADA SIFIR 180M2 GÜVENLİKLİ,13200000,"Suadiye, Kadıköy",4+2,230 m²
278,CİTYDEN..FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 140M2 3+1 YENİ,10300000,"Suadiye, Kadıköy",4+1,165 m²
279,ERENKÖY MAHALLESİNDE 3+1 SATILIK DAİRE 104M2,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
280,BOSTANCI MERKEZDE SATILIK DÜKKAN,10300000,"Suadiye, Kadıköy",4+1,165 m²
281,KOZZY AVM ÇOK YAKIN 4+1 130 M2 İSKANLI ARAKAT,290000000,"Fenerbahçe, Kadıköy",,2987 m²
282,BAĞDAT CADDESİ FENER YOLU MAHALLESİNDE SATILIK 2+1 DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
283,BAĞDAT CADDESİ FENER YOLU MAHALLESİNDE SATILIK 2+1 DAİRE,5975000,"Suadiye, Kadıköy",2+1,95 m²
284,ACIBADEM CADDESİ AKILLI EV SİSTEMİ TERASLI 4+1 DUBLEKS DAİRE,13950000,"Zühtüpaşa, Kadıköy",,212 m²
285,ACIBADEMDE BAHÇE KULLANIMLI AKILLI EV SİSTEMİ 4+1 DUBLEKS DAİRE,3750000,"Caferağa, Kadıköy",2+1,100 m²
286,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
287,KOZYATAĞI E-5 YAKIN SATILIK KOMPLE PLAZA!!,8975000,"Suadiye, Kadıköy",3+1,130 m²
288,DİNAMİK'TEN FENERYOLU MİNİBÜS CADDESİNDE ÖN CEPHE 110M2 NET 3+1,7395000,"Erenköy, Kadıköy",3+1,165 m²
289,KALAMIŞ'TA PANORAMİK DENIZ MANZARALI TERASLI DUBLEKS,6650000,"Göztepe, Kadıköy",3+1,150 m²
290,,4200000,"Koşuyolu, Kadıköy",,125 m²
291,,7000000,"Caferağa, Kadıköy",3+1,140 m²
292,,5250000,"Göztepe, Kadıköy",1+1,117 m²
293,ACIBADEM DÖRTYOLDA ŞAHANE KONUMLU 2+1 75m²Y.GİRİŞ DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
294,Feneryolu Balkonlu Masrafsız Lüx 3+1 Satılık Güney Daire,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
295,Erenköy Ethemefendi Caddesi Marmaray Yakın 4+1,240000000,"Kozyatağı, Kadıköy",,4172 m²
296,Kadikoy Inci projesinden 3+1 85 m2 net balkonlu ebebeyn banyolu,9950000,"Bostancı, Kadıköy",4+1,160 m²
297,Göztepe Ihlamur Sokak İstasyon Caddesi Yakın Sıfır 3+1,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
298,Fenerbahçe Yüzme Havuzlu Güvenlikli Binada Teraslı Dubleks,13200000,"Suadiye, Kadıköy",4+2,230 m²
299,"BOSTANCI SAHİLDE ÖNÜ KAPANMAZ 160 M2, 4+1 SATILIK",10300000,"Suadiye, Kadıköy",4+1,165 m²
300,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
301,CİTY TEK YETKİLİ KALAMIŞ PARKINDA DEPREM SONRASI 205 M2 3+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
302,"Kozyatağı, Bayar Caddesinde Satılık 2 + 1 Daire",290000000,"Fenerbahçe, Kadıköy",,2987 m²
303,KOZYATAĞI ŞAKACI SOKAK'TA KOZZY AVM YAKINI SATILIK 3+1 DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
304,ÇOK NEZİH BİR LOKASYONDA KADIKÖY BOSTANCIDA KİRACILI SATILIK 3+,5975000,"Suadiye, Kadıköy",2+1,95 m²
305,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
306,,3750000,"Caferağa, Kadıköy",2+1,100 m²
307,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
308,,8975000,"Suadiye, Kadıköy",3+1,130 m²
309,,7395000,"Erenköy, Kadıköy",3+1,165 m²
310,,6650000,"Göztepe, Kadıköy",3+1,150 m²
311,"ERENKÖY,ÖMERPAŞA CD.BAĞDAT'A YAKIN,GENİŞ,SIFIR,BALKON,160M2,4+1",4200000,"Koşuyolu, Kadıköy",,125 m²
312,"GÖZTEPE'DE,MERKEZİ KONUMDA,SIFIR,EBEVEYN BANYOLU,116M2,2+1",7000000,"Caferağa, Kadıköy",3+1,140 m²
313,,5250000,"Göztepe, Kadıköy",1+1,117 m²
314,,6280000,"Bostancı, Kadıköy",3+1,190 m²
315,,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
316,,240000000,"Kozyatağı, Kadıköy",,4172 m²
317,,9950000,"Bostancı, Kadıköy",4+1,160 m²
318,CİTY'DEN GÖZTEPEDE BAĞDAT CAD. YAKIN DENİZ MANZ. SIFIR 3+1,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
319,Grena Suadiye Sitesinde Yabancı Satışa Uygun 3+1 Daire,13200000,"Suadiye, Kadıköy",4+2,230 m²
320,,10300000,"Suadiye, Kadıköy",4+1,165 m²
321,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
322,Acıbadem'de İyi Bir Konumda Deniz Manzaralı 2 Balkonlu 3+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
323,CİTY'DEN FENERYOLUNDA MİMARİ DEKORLU BALKONLU GENİŞ 3+1,290000000,"Fenerbahçe, Kadıköy",,2987 m²
324,CİTY'DEN FENERYOLUNDA MİMARİ DEKORLU BALKONLU GENİŞ 3+1,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
325,,5975000,"Suadiye, Kadıköy",2+1,95 m²
326,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
327,,3750000,"Caferağa, Kadıköy",2+1,100 m²
328,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
329,,8975000,"Suadiye, Kadıköy",3+1,130 m²
330,,7395000,"Erenköy, Kadıköy",3+1,165 m²
331,,6650000,"Göztepe, Kadıköy",3+1,150 m²
332,,4200000,"Koşuyolu, Kadıköy",,125 m²
333,,7000000,"Caferağa, Kadıköy",3+1,140 m²
334,,5250000,"Göztepe, Kadıköy",1+1,117 m²
335,CİTY DEN SUADİYE DE DENİZ MANZARALI 4 YILLIK 135m2 3+1,6280000,"Bostancı, Kadıköy",3+1,190 m²
336,,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
337,,240000000,"Kozyatağı, Kadıköy",,4172 m²
338,,9950000,"Bostancı, Kadıköy",4+1,160 m²
339,,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
340,,13200000,"Suadiye, Kadıköy",4+2,230 m²
341,,10300000,"Suadiye, Kadıköy",4+1,165 m²
342,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
343,,10300000,"Suadiye, Kadıköy",4+1,165 m²
344,,290000000,"Fenerbahçe, Kadıköy",,2987 m²
345,SAHRAYICEDİDDE METRO YAKINI ÖNÜ TAMAMEN AÇIK SATILIK DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
346,ANA CADDE ÜZERİNDE KİRACILI 1000 M2 MAĞAZA,5975000,"Suadiye, Kadıköy",2+1,95 m²
347,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
348,,3750000,"Caferağa, Kadıköy",2+1,100 m²
349,APPARTEMENT A VENDRE Excellence,21500000,"Caddebostan, Kadıköy",4+2,300 m²
350,"BOSTANCI'DA YENİ PROJEDE, ULTRA LÜKS AKILLI EV 120 M2 3+1",8975000,"Suadiye, Kadıköy",3+1,130 m²
351,,7395000,"Erenköy, Kadıköy",3+1,165 m²
352,,6650000,"Göztepe, Kadıköy",3+1,150 m²
353,,4200000,"Koşuyolu, Kadıköy",,125 m²
354,,7000000,"Caferağa, Kadıköy",3+1,140 m²
355,CİTY'DEN FENERYOLU DA BAĞDAT CAD. 2.BİNA BALKONLU MİMARİ DEKORLU,5250000,"Göztepe, Kadıköy",1+1,117 m²
356,FENERYOLU ÖZGÜRLÜKTE EMSAL DIŞI 5 YILLIK BALKONLU GENİŞ DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
357,MERDİVENKÖY'de 3+1 ARAKAT SATILIK DAİRE,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
358,Erenköy EthemEfendi'de Net 80m2 Balkonlu Sıfır 2+1,240000000,"Kozyatağı, Kadıköy",,4172 m²
359,GÖZTEPEDE YENİ BİNA 150M2 BRUT SATILIK 3+1 DAİRE,9950000,"Bostancı, Kadıköy",4+1,160 m²
360,,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
361,,13200000,"Suadiye, Kadıköy",4+2,230 m²
362,,10300000,"Suadiye, Kadıköy",4+1,165 m²
363,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
364,,10300000,"Suadiye, Kadıköy",4+1,165 m²
365,,290000000,"Fenerbahçe, Kadıköy",,2987 m²
366,KOZYATAĞI PRESTİJLİ KONUM VE ÖZELLİKDE 4+2 SATILIK DUBLEKS,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
367,,5975000,"Suadiye, Kadıköy",2+1,95 m²
368,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
369,,3750000,"Caferağa, Kadıköy",2+1,100 m²
370,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
371,,8975000,"Suadiye, Kadıköy",3+1,130 m²
372,,7395000,"Erenköy, Kadıköy",3+1,165 m²
373,,6650000,"Göztepe, Kadıköy",3+1,150 m²
374,,4200000,"Koşuyolu, Kadıköy",,125 m²
375,,7000000,"Caferağa, Kadıköy",3+1,140 m²
376,"BOSTANCI'DA YENİ ULTRA LÜKS PROJEDE, DENİZ MANZARALI 120 M2 3+1",5250000,"Göztepe, Kadıköy",1+1,117 m²
377,FENERYOLUNDA 3+1 FIRSAT DAİRE,6280000,"Bostancı, Kadıköy",3+1,190 m²
378,CİTY DEN FENERBAHÇE AYANOĞLU CAD. SİNDE KATTA TEK 4 YILLIK 160m2,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
379,"CADDEBOSTAN BAĞDAT'A ÜÇÜNCÜ APARTMAN 3+1,168M2 GENİŞ DAİRE..",240000000,"Kozyatağı, Kadıköy",,4172 m²
380,,9950000,"Bostancı, Kadıköy",4+1,160 m²
381,,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
382,CİTY'DEN MERDİVENKÖY'DE MİNİBÜS CD.'SİN YAKIN YENİ 130M2 3+1,13200000,"Suadiye, Kadıköy",4+2,230 m²
383,GÖZTEPE'DE NEZİH BİR SOKAKTA SATILIK 3+1 DAİRE,10300000,"Suadiye, Kadıköy",4+1,165 m²
384,BAĞDAT CADDESİNE YAKIN BALKONLU SATILIK ÇİFT DAİRE SALON 56M2,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
385,CİTY'DEN FENERYOLUNDA ÖZGÜRLÜK PARKINA ADIM MESAFEDE SIFIR 1+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
386,CİTY'DEN KALAMIŞ PARKINA YAKIN KAPANMAZ DENİZ MANZARALI 4+1,290000000,"Fenerbahçe, Kadıköy",,2987 m²
387,Koşuyolu Caddesi'ne Paralel Yatırımlık Müstakil Ev,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
388,,5975000,"Suadiye, Kadıköy",2+1,95 m²
389,CİTY^DEN ETHEMEFENDİ'DE CADDE İLE MARMARAY ARASI SIFIR 3+1,13950000,"Zühtüpaşa, Kadıköy",,212 m²
390,Feneryolu Güvenlikli Sitede Bağdat Caddesine Yakın Masrafsız,3750000,"Caferağa, Kadıköy",2+1,100 m²
391,Kadıköy Erenköy'de Prestijli Sitede Satılık 3+1 Daire,21500000,"Caddebostan, Kadıköy",4+2,300 m²
392,Merdivenköy'de Minibüs Caddesi'ne Yakın Satılık 3+1 Daire,8975000,"Suadiye, Kadıköy",3+1,130 m²
393,DİNAMİK'TEN FENERYOLUN'DA CADDEYE YAKIN GENİŞ 4+1,7395000,"Erenköy, Kadıköy",3+1,165 m²
394,MERDİVENKÖY'DE SGK DİŞ HEKİMLİĞİ KARŞISI SATILIK FIRSAT DÜKKAN,6650000,"Göztepe, Kadıköy",3+1,150 m²
395,SUADİYE SAHİLE YAKIN DENİZ MANZARALI 3+1 DAİRE,4200000,"Koşuyolu, Kadıköy",,125 m²
396,,7000000,"Caferağa, Kadıköy",3+1,140 m²
397,CİTY'DEN BAĞDATA YAKIN MİMARİ DEKORLU BALKONLU 215 M2 4+1,5250000,"Göztepe, Kadıköy",1+1,117 m²
398,Kadiköy Zühtüpaşa'da Genç Binada 3 Cepheli 2+1 Daire,6280000,"Bostancı, Kadıköy",3+1,190 m²
399,"GÖZTEPE'DE,MİNİBÜS CAD.ÜSTÜNDE,GENİŞ,BALKONLU,140M2,3+1",5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
400,CİTY'DEN FENERYOLU'NDA SIFIR 200M2 3+2 BALKONLU,240000000,"Kozyatağı, Kadıköy",,4172 m²
401,SUADİYE AMETİST'TE SATILIK FUL DENİZ MANZARALI MUHTEŞEM DUBLEKS,9950000,"Bostancı, Kadıköy",4+1,160 m²
402,FOUR WINDS RESIDENCE'TA TERASLI MANZARALI MUHTEŞEM DAİRE,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
403,"KADIKÖY ZÜHTÜPAŞA' DA 3+1 120 M2, YENİ BOYALI KAÇIRILMAZ DAİRE",13200000,"Suadiye, Kadıköy",4+2,230 m²
404,CİTY'DEN ÖZGÜRLÜK PARKI KARŞISINDA SIFIR BAHÇE KATI 2+1,10300000,"Suadiye, Kadıköy",4+1,165 m²
405,,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
406,,10300000,"Suadiye, Kadıköy",4+1,165 m²
407,,290000000,"Fenerbahçe, Kadıköy",,2987 m²
408,Kozyatağı Bayar Caddesi 2+1 100m2 Satılık Ofis yada Daire,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
409,,5975000,"Suadiye, Kadıköy",2+1,95 m²
410,ÇARŞI İÇİNDE KİRACILI 15 M2 DÜKKAN,13950000,"Zühtüpaşa, Kadıköy",,212 m²
411,MERKEZİ KONUMDA 20 M2 DÜKKAN,3750000,"Caferağa, Kadıköy",2+1,100 m²
412,ANA CADDE ÜZERİNDE KİRACILI 40 M2 DÜKKAN,21500000,"Caddebostan, Kadıköy",4+2,300 m²
413,ERENKÖY ŞEMSETTİN GÜNALTAY CADDESİ ÜZERİNDE 50 M2 DÜKKAN,8975000,"Suadiye, Kadıköy",3+1,130 m²
414,MERKEZİ KONUMDA KİRACILI 25 M2 DÜKKAN,7395000,"Erenköy, Kadıköy",3+1,165 m²
415,BAĞDAT CADDESİ ÜZERİNDE 260 M2 MAĞAZA,6650000,"Göztepe, Kadıköy",3+1,150 m²
416,ERENKÖY BAĞDAT CADDESİ ÜZERİNDE 70 M2 MAĞAZA,4200000,"Koşuyolu, Kadıköy",,125 m²
417,ANA CADDE ÜZERİNDE 1100 M2 DÜKKAN,7000000,"Caferağa, Kadıköy",3+1,140 m²
418,BAĞDAT CADDESİ ÜZERİNDE 3500 M2 KOMPLE BİNA,5250000,"Göztepe, Kadıköy",1+1,117 m²
419,OPERATÖR CEMİL TOPUZLU CADDESİ ÜZERİNDE KİRACILI 480 M2 MAĞAZA,6280000,"Bostancı, Kadıköy",3+1,190 m²
420,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 80 M2 DÜKKAN,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
421,FENERBAHÇE FENER KALAMIŞ CADDESİ ÜZERİNDE 400 M2 MAĞAZA,240000000,"Kozyatağı, Kadıköy",,4172 m²
422,ERENKÖY ETHEM EFENDİ CADDESİ ÜZERİNDE 182 M2 DÜKKAN,9950000,"Bostancı, Kadıköy",4+1,160 m²
423,KADIKÖY BAHARİYE CADDESİ ÜZERİNDE 180 M2 DÜKKAN,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
424,Çiftehavuzlar Bağdat Cad Satılık Ev Ofis,13200000,"Suadiye, Kadıköy",4+2,230 m²
425,Feneryolu Özgürlük Parkına Marmaraya Yürüeme Mesafesinde,10300000,"Suadiye, Kadıköy",4+1,165 m²
426,KOZYATAĞI Metroya yakın Satılık Daire Balkonlu Ferah Temiz,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
427,Fikirtepe Torkam sitesinde 1+1 yeni bina oturulmamış,10300000,"Suadiye, Kadıköy",4+1,165 m²
428,Göztepe tütüncü mehmet efendi caddesi üzerinde 4+1 yeni bina,290000000,"Fenerbahçe, Kadıköy",,2987 m²
429,Feneryolu marmaraya yakın geniş 3+1 masrafsız yenilenmiş,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
430,SUADİYE ÇOLAK İSMAİL DE GENİŞ VE BAKIMLI GENÇ BİNADA SATILIK 3+1,5975000,"Suadiye, Kadıköy",2+1,95 m²
431,Çiftehavuzlar'da Muhteşem konumda Sıfır binada 3+1,13950000,"Zühtüpaşa, Kadıköy",,212 m²
432,,3750000,"Caferağa, Kadıköy",2+1,100 m²
433,,21500000,"Caddebostan, Kadıköy",4+2,300 m²
434,"MELTEM KULE'DE, DENİZ MANZARALI, İSKANLI 5+2 SATILIK DUBLEKS",8975000,"Suadiye, Kadıköy",3+1,130 m²
435,Suadiye yeni bina 4+1 160 m2 net,7395000,"Erenköy, Kadıköy",3+1,165 m²
436,,6650000,"Göztepe, Kadıköy",3+1,150 m²
437,CEMİL TOPUZLU CADDESİNDE MUHTEŞEM LOKASYONDA 3+1,4200000,"Koşuyolu, Kadıköy",,125 m²
438,KADIKÖY RIHTIM'A YAKIN SATILIK OFİS & BÜRO,7000000,"Caferağa, Kadıköy",3+1,140 m²
439,MÜKEMMEL LOKASYONDA MİMARİ DEKORLU 4+1 FERAH,5250000,"Göztepe, Kadıköy",1+1,117 m²
440,Erenköy Caddebostan arası Satılık 155m2 Daire Deniz Manzaralı,6280000,"Bostancı, Kadıköy",3+1,190 m²
441,Kadıköy Bostancı'da Satılık Daire,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
442,GÖZTEPE MERKEZDE İÇİ YAPILI BALKONLU EBEVEYN BANYOLU SATILIK 3+1,240000000,"Kozyatağı, Kadıköy",,4172 m²
443,Feneryolu'nda marmaray ve bağdat caddesine yakın 4+1,9950000,"Bostancı, Kadıköy",4+1,160 m²
