,TITLE,PRICE,LOCATION,ROOM,AREA
48,Kadıköy Salı Pazarının Dibinde 125 m2 Çok geniş DUBLEXS,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
49,,10300000,"Suadiye, Kadıköy",4+1,165 m²
50,KOZYATAĞI METROYA ÇOK YAKIN 60 M2 ARSA PAYLI 130 M2 ARAKAT,290000000,"Fenerbahçe, Kadıköy",,2987 m²
51,kadıköy merkezde satılık 5 katlı komple bina,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
52,BAĞDAT CAD. MUHTEŞEM MANZARALI 1+1 EŞYALI SATILIK RESIDENCE,5975000,"Suadiye, Kadıköy",2+1,95 m²
53,,13950000,"Zühtüpaşa, Kadıköy",,212 m²
54,BOSTANCI DEPREM SONRASI 2002 YAPIMI175 M²  3+1 LÜKS DAİRE,3750000,"Caferağa, Kadıköy",2+1,100 m²
55,KADIKÖY BELEDİYESİ KARŞISIN DA 120M2 İŞYERİ,21500000,"Caddebostan, Kadıköy",4+2,300 m²
56,"Erenköy Sevgili Residance'da havuzlu,güvenlikli 137 m2 3+1",8975000,"Suadiye, Kadıköy",3+1,130 m²
57,,7395000,"Erenköy, Kadıköy",3+1,165 m²
58,,6650000,"Göztepe, Kadıköy",3+1,150 m²
59,,4200000,"Koşuyolu, Kadıköy",,125 m²
60,BAĞDAT CADDESİ'NDE MUHTEŞEM MANZARALI 3+1 SATILIK RESIDENCE,7000000,"Caferağa, Kadıköy",3+1,140 m²
61,KOZZY AVM İLE MİNİBÜS CADDESİ  ARASINDA 4. KATTA KOMBİLİ 2+1 DA,5250000,"Göztepe, Kadıköy",1+1,117 m²
62,,6280000,"Bostancı, Kadıköy",3+1,190 m²
63,Kadıköy Rasimpaşa'da Özel Dekorlu Satılık Dükkan,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
64,,240000000,"Kozyatağı, Kadıköy",,4172 m²
65,,9950000,"Bostancı, Kadıköy",4+1,160 m²
66,KADIKÖY'DE 300m2 İSKANLI DEPOLU KİRACIL KÖŞE BİNA SATILIK DÜKKAN,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
67,,13200000,"Suadiye, Kadıköy",4+2,230 m²
68,,10300000,"Suadiye, Kadıköy",4+1,165 m²
69,KW SİNAN'DAN KALAMIŞ SAHİL PARSELİNDE MANZARALI SATILIK DAİRE,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
70,KADIKÖY YELDEĞİRMENİ'NDE 5 KATLI SATILIK TARİHİ BİNA,10300000,"Suadiye, Kadıköy",4+1,165 m²
71,Feneryolu'nda Deprem Sonrası 3+1 Satılık Daire,290000000,"Fenerbahçe, Kadıköy",,2987 m²
